label,class,confidence_thresholds
0,"Arc_L_FrontoParietal",0.5
1,"Arc_L_FT",0.0
2,"Arc_L_TemporoParietal",0.0
3,"Arc_R_FrontoParietal",0.2
4,"Arc_R_FT",0.0
5,"Arc_R_TemporoParietal",0.0
6,"CGC_L",0.0
7,"CGC_R",0.0
8,"CGH_L",0.0
9,"CGH_R",0.0
10,"CorpusCallosum_Genu",0.0
11,"CorpusCallosum_Motor",0.0
12,"CorpusCallosum_Parietal",0.0
13,"CorpusCallosum_PreMotor",0.0
14,"CorpusCallosum_Splenium",0.0
15,"CorpusCallosum_Tapetum",0.0
16,"CorticoFugal-Left_Motor",0.0
17,"CorticoFugal-Left_Parietal",0.0
18,"CorticoFugal-Left_PreFrontal",0.0
19,"CorticoFugal-Left_PreMotor",0.0
20,"CorticoFugal-Right_Motor",0.0
21,"CorticoFugal-Right_Parietal",0.0
22,"CorticoFugal-Right_PreFrontal",0.0
23,"CorticoFugal-Right_PreMotor",0.0
24,"CorticoSpinal-Left",0.0
25,"CorticoSpinal-Right",0.0
26,"CorticoThalamic_L_PreFrontal",0.0
27,"CorticoThalamic_Left_Motor",0.0
28,"CorticoThalamic_Left_Parietal",0.0
29,"CorticoThalamic_Left_PreMotor",0.0
30,"CorticoThalamic_R_PreFrontal",0.0
31,"CorticoThalamic_Right_Motor",0.0
32,"CorticoThalamic_Right_Parietal",0.0
33,"CorticoThalamic_Right_PreMotor",0.0
34,"Fornix_L",0.0
35,"Fornix_R",0.0
36,"IFOF_L",0.0
37,"IFOF_R",0.0
38,"ILF_L",0.0
39,"ILF_R",0.0
40,"OpticRadiation_Left",0.0
41,"OpticRadiation_Right",0.0
42,"Optic_Tract_L",0.0
43,"Optic_Tract_R",0.0
44,"SLF_II_L",0.0
45,"SLF_II_R",0.0
46,"UNC_L",0.5
47,"UNC_R",0.5
48,"MCP",0.1
49,"CPC",0.5
50,"ICP_left",0.1
51,"ICP_right",0.1
52,"Intra-CBLM-I&P_left",0.1
53,"Intra-CBLM-I&P_right",0.1
54,"Intra-CBLM-PaT_left",0.1
55,"Intra-CBLM-PaT_right",0.1
56,"MdLF_left",0.1
57,"MdLF_right",0.1
58,"EmC_left",0.1
59,"EmC_right",0.1
60,"EC_left",0.1
61,"EC_right",0.1
62,"Rejection",0.1
